5.000000000000000000e+00,9.430000000000000000e+02,1.791000000000000000e+03,2.674000000000000000e+03,3.560000000000000000e+03,4.322000000000000000e+03
5.000000000000000000e+00,9.850000000000000000e+02,1.857000000000000000e+03,2.747000000000000000e+03,3.613000000000000000e+03,4.363000000000000000e+03
4.000000000000000000e+00,6.930000000000000000e+02,1.323000000000000000e+03,1.973000000000000000e+03,2.618000000000000000e+03,3.203000000000000000e+03
4.000000000000000000e+00,7.950000000000000000e+02,1.513000000000000000e+03,2.243000000000000000e+03,2.979000000000000000e+03,3.648000000000000000e+03
5.000000000000000000e+00,9.550000000000000000e+02,1.820000000000000000e+03,2.710000000000000000e+03,3.622000000000000000e+03,4.380000000000000000e+03
4.000000000000000000e+00,6.820000000000000000e+02,1.297000000000000000e+03,1.929000000000000000e+03,2.565000000000000000e+03,3.131000000000000000e+03
4.000000000000000000e+00,8.360000000000000000e+02,1.589000000000000000e+03,2.362000000000000000e+03,3.143000000000000000e+03,3.814000000000000000e+03
4.000000000000000000e+00,8.710000000000000000e+02,1.651000000000000000e+03,2.446000000000000000e+03,3.239000000000000000e+03,3.907000000000000000e+03
5.000000000000000000e+00,1.028000000000000000e+03,1.932000000000000000e+03,2.854000000000000000e+03,3.781000000000000000e+03,4.541000000000000000e+03
7.000000000000000000e+00,8.530000000000000000e+02,1.608000000000000000e+03,2.384000000000000000e+03,3.180000000000000000e+03,3.868000000000000000e+03
5.000000000000000000e+00,9.590000000000000000e+02,1.817000000000000000e+03,2.698000000000000000e+03,3.559000000000000000e+03,4.317000000000000000e+03
4.000000000000000000e+00,6.070000000000000000e+02,1.151000000000000000e+03,1.716000000000000000e+03,2.276000000000000000e+03,2.782000000000000000e+03
5.000000000000000000e+00,1.122000000000000000e+03,2.128000000000000000e+03,3.153000000000000000e+03,4.125000000000000000e+03,4.984000000000000000e+03
4.000000000000000000e+00,6.630000000000000000e+02,1.265000000000000000e+03,1.890000000000000000e+03,2.563000000000000000e+03,3.639000000000000000e+03
4.000000000000000000e+00,8.960000000000000000e+02,1.702000000000000000e+03,2.521000000000000000e+03,3.341000000000000000e+03,4.040000000000000000e+03
4.000000000000000000e+00,8.490000000000000000e+02,1.607000000000000000e+03,2.385000000000000000e+03,3.154000000000000000e+03,3.854000000000000000e+03
